,article_size,summary_size,prompt_tokens,completion_tokens,total_tokens,status,lang,delta,id
0,1539,436,1282,197,1479,200,ru,6.11516,8
1,3489,425,2164,194,2358,200,ru,9.551833,9
2,7135,605,3864,276,4140,200,ru,7.379068,11
3,1593,634,1316,289,1605,200,ru,8.584833,14
4,2533,232,1747,104,1851,200,ru,4.001243,2
5,2187,323,1587,146,1733,200,ru,5.155237,4
6,877,279,998,130,1128,200,ru,3.356129,16
7,2119,448,1562,205,1767,200,ru,5.791127,19
8,877,279,998,130,1128,200,ru,3.460303,16
9,3619,544,1466,136,1602,200,en,4.485392,95
10,2684,661,1208,165,1373,200,en,5.101184,96
11,3405,538,2143,245,2388,200,ru,7.277757,407
12,476,67,805,29,834,200,ru,1.653841,21
13,901,133,1005,63,1068,200,ru,1.67241,23
14,1367,356,1214,164,1378,200,ru,4.725917,24
15,745,127,928,58,986,200,ru,2.171844,25
16,1830,214,1427,99,1526,200,ru,3.706536,26
17,435,166,787,74,861,200,ru,3.112207,29
18,2558,469,1760,217,1977,200,ru,6.535619,30
19,1400,305,1233,138,1371,200,ru,4.254814,31
20,1830,186,1427,86,1513,200,ru,2.621983,26
21,1812,217,1414,101,1515,200,ru,2.793721,32
22,1322,165,1184,76,1260,200,ru,2.445192,33
23,2416,442,1674,204,1878,200,ru,4.581027,34
24,1563,368,1295,170,1465,200,ru,4.764674,35
25,2648,218,1800,102,1902,200,ru,3.12972,36
26,1057,278,1055,121,1176,200,ru,3.696569,45
27,2370,393,1668,178,1846,200,ru,4.716975,38
28,1655,390,1333,175,1508,200,ru,5.289426,39
29,1842,508,1426,231,1657,200,ru,6.002199,40
30,20678,500,9782,222,10004,200,ru,8.229144,125
31,7769,640,4105,291,4396,200,ru,8.009817,408
32,96,45,635,20,655,200,ru,1.310031,409
33,2315,211,1634,99,1733,200,ru,2.955255,41
34,1833,310,1420,144,1564,200,ru,3.998869,42
35,2060,406,1524,187,1711,200,ru,5.301266,43
36,2060,392,1524,180,1704,200,ru,4.562568,43
37,1153,499,1115,229,1344,200,ru,6.468673,47
38,3426,364,2151,165,2316,200,ru,4.916819,48
39,1884,400,1443,182,1625,200,ru,5.035662,49
40,2647,562,1793,256,2049,200,ru,6.434237,50
41,2032,279,1507,130,1637,200,ru,4.091219,51
42,1741,178,1363,79,1442,200,ru,3.37554,52
43,1164,153,1110,70,1180,200,ru,2.787552,53
44,1956,272,1465,121,1586,200,ru,4.219102,54
45,1569,198,1303,91,1394,200,ru,3.124012,55
46,1745,294,1377,132,1509,200,ru,4.066927,59
47,1627,368,1323,165,1488,200,ru,5.211224,60
48,2375,434,1666,200,1866,200,ru,5.204942,61
49,1642,453,1331,207,1538,200,ru,5.309009,62
50,1408,254,1215,114,1329,200,ru,3.240893,63
51,6790,1320,2258,330,2588,200,en,10.001116,2279
52,1739,128,1375,55,1430,200,ru,2.474534,64
53,2426,833,1692,381,2073,200,ru,7.972823,65
54,2833,470,1885,214,2099,200,ru,5.616007,66
55,964,256,1028,118,1146,200,ru,3.684153,69
56,708,182,913,84,997,200,ru,2.928785,70
57,1038,379,1071,176,1247,200,ru,4.592936,71
58,842,238,980,109,1089,200,ru,3.364521,72
59,720,191,904,83,987,200,ru,3.672048,78
60,2035,493,1518,225,1743,200,ru,5.513455,73
61,899,453,992,199,1191,200,ru,7.357482,74
62,542,122,833,54,887,200,ru,2.54578,75
63,754,374,931,167,1098,200,ru,4.197145,76
64,1191,255,1139,117,1256,200,ru,3.659124,77
65,552,144,838,65,903,200,ru,2.310933,83
66,1946,433,1488,199,1687,200,ru,7.286324,84
67,902,120,999,54,1053,200,ru,2.221864,85
68,5138,551,1833,137,1970,200,en,4.083023,86
69,683,228,703,57,760,200,en,1.829602,87
70,1019,327,788,81,869,200,en,2.952451,88
71,471,220,649,55,704,200,en,1.934162,89
72,538,226,671,56,727,200,en,2.033488,90
73,582,237,679,59,738,200,en,2.456314,91
74,2591,564,1190,141,1331,200,en,4.84887,98
75,3010,541,1299,135,1434,200,en,4.305857,99
76,3726,656,1477,164,1641,200,en,6.04276,100
77,2400,687,1141,171,1312,200,en,4.812424,101
78,2412,505,1140,126,1266,200,en,4.048775,102
79,4112,754,1575,188,1763,200,en,5.207632,103
80,3270,582,1364,145,1509,200,en,4.694093,104
81,4150,601,1579,150,1729,200,en,5.207365,105
82,1276,368,1166,169,1335,200,ru,4.19525,106
83,1341,379,1186,162,1348,200,ru,5.047959,107
84,804,380,952,167,1119,200,ru,4.730519,113
85,994,312,1049,142,1191,200,ru,3.771752,114
86,741,314,909,141,1050,200,ru,4.487993,115
87,672,188,892,84,976,200,ru,3.773537,116
88,1234,222,1150,102,1252,200,ru,3.273126,117
89,2553,266,1723,118,1841,200,ru,5.140462,118
90,17906,1089,5112,272,5384,200,en,7.631458,675
91,4199,743,1587,185,1772,200,en,6.64337,676
92,1580,583,1317,271,1588,200,ru,6.180747,119
93,90,254,633,118,751,200,ru,3.597233,124
94,4288,821,1605,205,1810,200,en,7.025536,695
95,2403,477,1140,119,1259,200,en,4.141854,126
96,4651,669,1710,167,1877,200,en,4.759812,127
97,7900,786,2529,196,2725,200,en,6.069588,128
98,1937,456,1020,114,1134,200,en,3.383386,129
99,5847,627,2028,156,2184,200,en,5.671583,130
100,7021,1066,2321,266,2587,200,en,7.144507,131
101,1971,552,1023,138,1161,200,en,4.712694,132
102,3825,597,1487,149,1636,200,en,4.448838,133
103,2371,519,1137,129,1266,200,en,3.86478,136
104,893,566,754,141,895,200,en,4.283652,137
105,6599,545,2215,136,2351,200,en,4.285558,138
106,7398,647,2381,161,2542,200,en,5.714208,139
107,316,196,611,49,660,200,en,2.487545,140
108,280,202,603,50,653,200,en,5.770539,141
109,2609,697,1196,174,1370,200,en,5.036155,142
110,656,261,894,121,1015,200,ru,3.513721,164
111,1262,442,848,110,958,200,en,4.351094,143
112,562,191,673,47,720,200,en,2.25998,144
113,562,187,673,46,719,200,en,1.525774,144
114,1496,337,905,84,989,200,en,2.924292,150
115,2027,449,1511,209,1720,200,ru,4.948391,151
116,1345,488,1198,224,1422,200,ru,5.623928,152
117,2016,475,1503,216,1719,200,ru,5.54651,153
118,2803,421,1850,192,2042,200,ru,4.385507,154
119,4004,748,2405,341,2746,200,ru,7.939078,165
120,2606,295,1761,132,1893,200,ru,4.988009,166
121,4965,485,2845,221,3066,200,ru,5.4544,167
122,1866,503,1426,229,1655,200,ru,5.824568,155
123,3961,322,2400,147,2547,200,ru,4.711207,168
124,4472,529,2618,234,2852,200,ru,7.629294,169
125,7250,660,2364,165,2529,200,en,6.490853,2192
126,2087,464,1535,211,1746,200,ru,5.890819,159
127,1672,357,1340,163,1503,200,ru,4.495329,160
128,1789,292,1387,130,1517,200,ru,3.994347,161
129,2387,473,1678,220,1898,200,ru,5.361091,162
130,11842,737,5949,308,6257,200,ru,14.669743,170
131,5792,241,3213,106,3319,200,ru,4.339934,171
132,6355,930,2138,232,2370,200,en,6.341538,2322
133,2027,201,1508,93,1601,200,ru,2.979493,176
134,1858,512,1433,232,1665,200,ru,6.697516,177
135,1143,369,1105,166,1271,200,ru,5.812315,185
136,1811,238,1408,106,1514,200,ru,3.258562,178
137,930,423,1012,195,1207,200,ru,5.412666,179
138,796,106,950,48,998,200,ru,1.829154,180
139,11424,514,5733,237,5970,200,ru,7.363369,181
140,469,152,805,68,873,200,ru,2.327711,182
141,2417,417,1671,190,1861,200,ru,5.2741,183
142,991,341,1037,152,1189,200,ru,4.579623,184
143,5777,449,3210,201,3411,200,ru,5.946332,229
144,2106,322,1549,147,1696,200,ru,5.087483,230
145,790,182,950,83,1033,200,ru,3.681709,191
146,1406,195,1220,88,1308,200,ru,2.503531,192
147,1328,210,1183,92,1275,200,ru,3.200683,193
148,1106,304,1095,139,1234,200,ru,4.017898,195
149,1703,372,1349,168,1517,200,ru,4.481684,196
150,641,207,878,93,971,200,ru,3.123051,198
151,939,301,992,130,1122,200,ru,3.962822,205
152,872,288,990,132,1122,200,ru,3.197678,206
153,1799,672,1404,312,1716,200,ru,6.909724,207
154,4258,534,2545,246,2791,200,ru,6.4269,208
155,1204,290,1143,130,1273,200,ru,3.771143,209
156,1631,372,1332,171,1503,200,ru,4.38554,210
157,2619,349,1742,151,1893,200,ru,5.093927,231
158,7135,623,3864,283,4147,200,ru,7.773301,232
159,10698,1223,5463,545,6008,200,ru,13.911024,822
160,4437,416,1656,104,1760,200,en,4.164187,215
161,156,89,661,40,701,200,ru,2.035788,239
162,9086,249,4659,105,4764,200,ru,5.408188,240
163,4534,529,1699,132,1831,200,en,4.268531,241
164,1049,255,792,63,855,200,en,2.485157,216
165,770,242,723,60,783,200,en,2.21099,217
166,3487,657,1402,164,1566,200,en,4.371049,218
167,1653,117,1335,53,1388,200,ru,1.910012,219
168,1802,504,1418,232,1650,200,ru,5.549998,220
169,1492,391,1269,178,1447,200,ru,5.308259,221
170,1585,497,1326,231,1557,200,ru,5.170068,224
171,1031,263,1060,120,1180,200,ru,3.558725,225
172,7371,730,2397,182,2579,200,en,5.427198,226
173,3729,441,1481,110,1591,200,en,3.755085,227
174,2012,326,1506,149,1655,200,ru,3.751001,228
175,1091,387,1084,179,1263,200,ru,4.601947,233
176,1724,218,1388,100,1488,200,ru,2.744677,234
177,1046,286,1072,132,1204,200,ru,3.770079,235
178,1449,168,1253,77,1330,200,ru,2.056956,236
179,1287,218,1179,101,1280,200,ru,2.684503,243
180,2395,351,1676,163,1839,200,ru,3.709266,244
181,7092,869,2329,217,2546,200,en,5.779202,246
182,494,245,656,61,717,200,en,1.946002,247
183,2014,403,1507,184,1691,200,ru,5.845301,248
184,1705,384,1365,174,1539,200,ru,4.982605,249
185,1226,333,1152,154,1306,200,ru,3.96269,250
186,1173,469,1129,216,1345,200,ru,5.555813,251
187,308,170,731,78,809,200,ru,1.666066,263
188,1108,379,808,94,902,200,en,3.569177,257
189,1328,311,862,77,939,200,en,2.906779,258
190,1631,182,1333,84,1417,200,ru,2.696108,259
191,3489,325,2164,145,2309,200,ru,5.202175,260
192,1261,331,848,82,930,200,en,2.399483,261
193,1941,346,1476,158,1634,200,ru,4.637813,262
194,1371,339,1208,157,1365,200,ru,4.485066,264
195,1507,325,1275,147,1422,200,ru,4.389483,265
196,907,162,1005,76,1081,200,ru,2.424511,269
197,2982,595,1290,148,1438,200,en,4.696981,270
198,4617,775,1684,193,1877,200,en,4.997218,271
199,6324,802,2112,200,2312,200,en,5.936351,272
200,1840,452,992,113,1105,200,en,3.552032,273
201,899,243,1005,110,1115,200,ru,3.975022,274
202,832,221,970,102,1072,200,ru,3.367492,275
203,1472,99,1263,45,1308,200,ru,2.031686,277
204,1045,323,1067,149,1216,200,ru,4.599533,278
205,751,196,932,89,1021,200,ru,2.647751,279
206,557,232,849,108,957,200,ru,3.451059,285
207,2840,516,1874,236,2110,200,ru,5.90578,286
208,492,122,811,55,866,200,ru,2.455343,287
209,3972,416,2344,179,2523,200,ru,5.936322,288
210,2911,491,1931,226,2157,200,ru,6.522542,289
211,2209,337,1601,156,1757,200,ru,3.977759,290
212,669,193,888,86,974,200,ru,3.05814,291
213,9140,883,4793,408,5201,200,ru,9.942866,292
214,1957,438,1476,196,1672,200,ru,6.806232,293
215,4642,572,1712,143,1855,200,en,5.13534,294
216,3249,504,1348,126,1474,200,en,4.14303,302
217,4534,597,1674,149,1823,200,en,4.878056,303
218,1957,459,1476,205,1681,200,ru,6.657865,293
219,4642,659,1712,164,1876,200,en,5.3696,294
220,1099,293,805,73,878,200,en,2.659736,304
221,1861,406,1429,184,1613,200,ru,5.089457,305
222,2152,495,1566,227,1793,200,ru,6.73592,306
223,597,299,862,135,997,200,ru,3.673683,307
224,626,305,879,142,1021,200,ru,3.391802,308
225,286,105,603,26,629,200,en,1.390601,1436
226,768,333,944,152,1096,200,ru,3.682928,312
227,2818,579,1235,144,1379,200,en,4.047779,313
228,3637,700,1440,175,1615,200,en,4.301515,314
229,369,82,761,38,799,200,ru,1.466485,447
230,1094,278,804,69,873,200,en,2.602776,315
231,860,270,746,67,813,200,en,2.241813,316
232,1090,165,1093,77,1170,200,ru,2.256218,318
233,1477,212,1249,95,1344,200,ru,3.343933,319
234,1294,411,1177,189,1366,200,ru,4.882267,320
235,9459,1024,4793,450,5243,200,ru,14.721826,323
236,7053,800,3771,368,4139,200,ru,10.128461,324
237,1949,367,1472,166,1638,200,ru,5.979549,325
238,2113,512,1550,236,1786,200,ru,5.60192,326
239,1581,295,1306,136,1442,200,ru,3.457322,327
240,490,268,654,67,721,200,en,2.646056,1438
241,1424,476,1234,221,1455,200,ru,4.696723,328
242,2545,375,1758,175,1933,200,ru,3.787798,329
243,5025,673,1787,168,1955,200,en,4.277074,330
244,4831,837,1738,209,1947,200,en,5.818747,331
245,2146,515,1572,235,1807,200,ru,5.287497,338
246,2395,418,1676,194,1870,200,ru,5.0013,339
247,1631,278,1333,126,1459,200,ru,3.16131,340
248,5953,872,2028,218,2246,200,en,5.826829,341
249,16643,1839,4704,459,5163,200,en,14.016329,342
250,495,341,655,85,740,200,en,2.934869,343
251,8066,905,2559,226,2785,200,en,6.003547,344
252,7444,643,2392,160,2552,200,en,4.991929,345
253,1699,509,959,127,1086,200,en,4.384989,346
254,3268,695,2055,306,2361,200,ru,7.866422,2470
255,2824,376,1854,168,2022,200,ru,4.563871,369
256,2376,453,1672,210,1882,200,ru,5.925658,370
257,1502,146,1276,67,1343,200,ru,2.250762,387
258,1850,230,1430,104,1534,200,ru,2.908374,371
259,4656,426,2701,197,2898,200,ru,4.835191,372
260,3506,360,2180,162,2342,200,ru,4.8479,373
261,1828,321,1421,147,1568,200,ru,3.8396,374
262,3110,430,1308,107,1415,200,en,3.825596,375
263,1138,247,1116,115,1231,200,ru,3.053473,376
264,2978,536,1953,245,2198,200,ru,5.491772,377
265,1978,587,1492,273,1765,200,ru,5.808405,382
266,1642,465,1297,205,1502,200,ru,5.78462,388
267,2516,514,1741,238,1979,200,ru,6.383061,389
268,2098,452,1552,207,1759,200,ru,4.962343,383
269,941,182,1022,82,1104,200,ru,4.705005,384
270,1538,594,1285,271,1556,200,ru,7.562492,385
271,1475,105,1251,47,1298,200,ru,1.986795,386
272,2590,549,1759,250,2009,200,ru,6.811263,390
273,308,100,731,45,776,200,ru,1.376936,586
274,2076,148,1521,67,1588,200,ru,2.107155,391
275,2260,231,1585,100,1685,200,ru,3.237669,396
276,2187,280,1587,124,1711,200,ru,4.209465,406
277,1296,254,1162,116,1278,200,ru,3.64153,397
278,3206,557,1344,139,1483,200,en,4.246651,398
279,2282,456,1102,114,1216,200,en,4.187358,399
280,2371,506,1134,126,1260,200,en,3.643771,400
281,723,314,712,78,790,200,en,2.230426,401
282,8480,682,2689,170,2859,200,en,5.575275,402
283,2582,513,1182,128,1310,200,en,4.145083,403
284,4579,695,1700,173,1873,200,en,5.416257,404
285,1749,341,1385,157,1542,200,ru,3.742834,410
286,2035,203,1518,92,1610,200,ru,3.033169,411
287,1512,328,1274,152,1426,200,ru,4.611864,412
288,1027,198,1062,91,1153,200,ru,2.855175,413
289,3223,389,2053,178,2231,200,ru,4.887879,414
290,1022,304,1054,140,1194,200,ru,3.765262,415
291,1965,412,1023,103,1126,200,en,3.7743,416
292,2979,581,1289,145,1434,200,en,4.451467,417
293,2362,497,1658,227,1885,200,ru,5.090456,418
294,828,290,973,132,1105,200,ru,3.54231,419
295,981,199,1037,89,1126,200,ru,3.117314,424
296,2457,375,1146,93,1239,200,en,4.15857,425
297,2982,568,1306,142,1448,200,en,4.18036,426
298,2708,538,1214,134,1348,200,en,4.448181,427
299,10577,1102,3181,275,3456,200,en,7.208779,428
300,385,178,627,44,671,200,en,1.618755,429
301,3006,589,1962,272,2234,200,ru,7.256704,430
302,6297,1060,2105,265,2370,200,en,7.472167,1443
303,77,80,627,37,664,200,ru,1.499149,1644
304,1371,294,1218,134,1352,200,ru,3.979784,431
305,4212,461,1594,115,1709,200,en,5.068976,436
306,940,444,1025,205,1230,200,ru,5.427372,437
307,331,141,743,64,807,200,ru,2.337585,438
308,2255,304,1604,135,1739,200,ru,4.184223,3575
309,1778,211,1395,97,1492,200,ru,2.33699,439
310,4063,853,1552,213,1765,200,en,5.511309,440
311,2381,508,1672,230,1902,200,ru,6.537808,441
312,3982,202,2399,94,2493,200,ru,3.155938,442
313,1304,224,1181,103,1284,200,ru,2.977443,443
314,941,268,1023,119,1142,200,ru,4.274395,444
315,592,132,859,58,917,200,ru,2.202505,450
316,1197,150,1141,69,1210,200,ru,2.350775,451
317,1406,452,1228,207,1435,200,ru,6.43424,452
318,84,91,630,42,672,200,ru,1.558983,1645
319,1443,341,1249,157,1406,200,ru,4.273635,453
320,1124,238,1101,109,1210,200,ru,2.833054,454
321,2056,419,1518,190,1708,200,ru,5.173008,455
322,1215,345,1131,153,1284,200,ru,4.096532,456
323,1770,336,1408,154,1562,200,ru,3.99921,457
324,1377,308,1211,140,1351,200,ru,4.754509,458
325,9281,503,4777,231,5008,200,ru,6.642441,3576
326,1433,308,1244,140,1384,200,ru,3.745302,464
327,562,281,845,125,970,200,ru,3.880083,465
328,1310,362,1189,166,1355,200,ru,4.221255,466
329,1337,331,1196,148,1344,200,ru,3.83293,467
330,928,173,999,76,1075,200,ru,2.849884,468
331,406,156,633,39,672,200,en,1.798914,1444
332,885,380,994,173,1167,200,ru,4.924306,469
333,1978,626,1498,290,1788,200,ru,6.267931,470
334,629,158,880,73,953,200,ru,2.197173,471
335,1210,191,1144,88,1232,200,ru,2.836187,477
336,471,171,804,76,880,200,ru,2.178117,478
337,1238,227,1148,104,1252,200,ru,3.067871,846
338,998,450,1048,205,1253,200,ru,5.99019,479
339,1423,461,1212,207,1419,200,ru,5.594208,480
340,577,181,854,82,936,200,ru,3.15989,481
341,1438,545,1247,245,1492,200,ru,6.444001,482
342,585,279,857,128,985,200,ru,3.870191,483
343,295,136,605,34,639,200,en,1.367518,1445
344,819,204,949,91,1040,200,ru,3.306971,484
345,10518,743,5335,337,5672,200,ru,9.599543,490
346,5078,596,2912,269,3181,200,ru,5.813729,491
347,1782,421,1413,194,1607,200,ru,4.849051,492
348,5186,546,2931,249,3180,200,ru,6.380244,493
349,5111,634,2922,291,3213,200,ru,8.792158,494
350,6866,804,2279,201,2480,200,en,5.566424,1446
351,19089,810,5370,202,5572,200,en,7.085343,1447
352,5675,850,1959,212,2171,200,en,6.148079,1448
353,1858,433,1440,197,1637,200,ru,5.402852,495
354,12518,812,6306,366,6672,200,ru,11.558269,496
355,2858,358,1888,164,2052,200,ru,4.154326,501
356,1318,345,1191,156,1347,200,ru,4.697,502
357,677,219,901,101,1002,200,ru,2.841445,503
358,1233,239,1145,107,1252,200,ru,3.245497,504
359,1211,317,1145,146,1291,200,ru,4.022034,505
360,2229,459,1614,210,1824,200,ru,5.090822,506
361,4135,729,1581,182,1763,200,en,5.100965,1449
362,1616,415,1330,192,1522,200,ru,3.979818,507
363,1776,442,1393,203,1596,200,ru,4.894941,508
364,2242,483,1609,223,1832,200,ru,4.852522,509
365,677,115,899,53,952,200,ru,1.763621,515
366,3037,544,1292,136,1428,200,en,4.238559,516
367,2699,283,1827,129,1956,200,ru,3.940524,517
368,263,92,711,42,753,200,ru,1.407046,518
369,901,127,998,58,1056,200,ru,2.874784,519
370,1206,225,1134,103,1237,200,ru,3.142106,520
371,665,116,898,53,951,200,ru,2.296014,521
372,5538,1196,3125,542,3667,200,ru,15.014654,522
373,1360,399,1204,181,1385,200,ru,4.335519,523
374,2583,343,1753,134,1887,200,ru,5.305461,524
375,971,284,1035,128,1163,200,ru,3.570489,528
376,559,171,843,78,921,200,ru,2.298597,529
377,2050,387,1403,168,1571,200,ru,4.32778,1647
378,12581,806,6193,375,6568,200,ru,9.365518,1648
379,1227,343,1151,157,1308,200,ru,3.784567,530
380,679,272,903,124,1027,200,ru,3.564889,531
381,1041,353,1059,163,1222,200,ru,4.351003,532
382,1159,331,1125,152,1277,200,ru,3.840915,533
383,1572,210,1297,98,1395,200,ru,2.967214,534
384,2362,305,1462,135,1597,200,ru,3.347032,1649
385,664,300,884,129,1013,200,ru,3.810541,538
386,609,265,871,119,990,200,ru,3.523983,539
387,5472,786,1917,196,2113,200,en,5.645268,1697
388,9629,1524,2949,381,3330,200,en,10.500785,1698
389,1714,1020,1374,461,1835,200,ru,11.490221,540
390,636,263,884,120,1004,200,ru,3.201961,541
391,814,174,962,80,1042,200,ru,2.326151,542
392,1532,206,1292,95,1387,200,ru,2.984379,543
393,1546,322,1289,147,1436,200,ru,4.301081,544
394,662,164,892,76,968,200,ru,2.437542,545
395,2807,646,1246,161,1407,200,en,4.67674,1699
396,1454,450,1251,206,1457,200,ru,5.200531,551
397,859,277,971,122,1093,200,ru,4.031491,552
398,1569,437,1318,203,1521,200,ru,5.172675,553
399,1060,401,1068,181,1249,200,ru,5.521145,554
400,1747,333,1376,151,1527,200,ru,3.604568,555
401,2629,506,1196,126,1322,200,en,4.981116,1700
402,1442,176,1252,82,1334,200,ru,2.608247,556
403,1013,248,1058,115,1173,200,ru,3.808896,557
404,1459,484,1258,222,1480,200,ru,5.680035,558
405,1476,347,1243,155,1398,200,ru,3.864776,562
406,1863,488,1397,219,1616,200,ru,5.348556,563
407,1102,399,1095,183,1278,200,ru,4.221758,564
408,1172,254,1130,117,1247,200,ru,3.054256,565
409,1782,458,1406,211,1617,200,ru,5.307976,566
410,531,210,664,52,716,200,en,2.184388,2193
411,1147,254,1114,117,1231,200,ru,2.850988,567
412,1859,365,1435,166,1601,200,ru,4.986318,568
413,1773,660,1409,305,1714,200,ru,6.920117,569
414,1335,281,1199,130,1329,200,ru,3.547401,570
415,978,241,1030,109,1139,200,ru,3.400891,575
416,1681,341,1357,155,1512,200,ru,3.964022,576
417,547,92,832,42,874,200,ru,1.40394,587
418,1210,214,1130,94,1224,200,ru,3.780298,577
419,674,229,891,104,995,200,ru,2.56901,578
420,1873,330,1448,152,1600,200,ru,5.428666,579
421,646,302,888,140,1028,200,ru,4.01224,580
422,806,176,958,78,1036,200,ru,2.596534,581
423,827,177,970,81,1051,200,ru,2.769578,582
424,897,274,999,126,1125,200,ru,3.632546,583
425,1658,198,1339,91,1430,200,ru,3.048781,590
426,1625,237,1324,107,1431,200,ru,2.913147,591
427,945,211,1013,97,1110,200,ru,2.544698,592
428,1421,204,1229,93,1322,200,ru,2.846142,593
429,2421,152,1664,67,1731,200,ru,2.867256,594
430,2097,469,1546,216,1762,200,ru,4.480473,595
431,2122,268,1553,125,1678,200,ru,2.898651,596
432,8794,433,4519,199,4718,200,ru,7.878242,634
433,4432,662,1647,165,1812,200,en,5.285111,635
434,4115,597,1585,149,1734,200,en,5.374405,636
435,2984,127,1941,58,1999,200,ru,2.069894,599
436,2642,577,1780,264,2044,200,ru,5.297896,600
437,1006,230,1033,104,1137,200,ru,2.792708,601
438,3848,670,2337,309,2646,200,ru,8.304282,602
439,1598,243,1317,112,1429,200,ru,3.078185,603
440,4299,535,1620,133,1753,200,en,3.623691,637
441,2859,518,1251,129,1380,200,en,4.658844,638
442,2006,401,1037,100,1137,200,en,3.40958,639
443,1911,473,1461,219,1680,200,ru,5.754204,604
444,1298,352,1169,159,1328,200,ru,5.00489,605
445,3186,310,2050,140,2190,200,ru,5.442154,668
446,1298,490,1169,221,1390,200,ru,6.128694,605
447,2361,517,1640,233,1873,200,ru,6.417814,611
448,1688,269,1354,126,1480,200,ru,3.346015,612
449,1188,226,1117,104,1221,200,ru,3.228582,613
450,1364,310,1207,142,1349,200,ru,4.208736,614
